Time,Title,Rate Limit Remaining,Title_Clean,Sentiment,Sentiment_Score,Topic,Topic_Score,Cluster
Wed Apr  2 16:45:38 2025,DOGE Gains Access to Payroll for 276K Federal Staff Despite Security Fears: Report,999.0,doge gains access to payroll for 276k federal staff despite security fears report,NEUTRAL,0.79496830701828,security,0.7345141768455505,1
Wed Apr  2 16:45:43 2025,Game developers warn GeForce RTX 4000 and 3000 owners to roll back Nvidia drivers | The latest drivers are causing issues in previous-gen cards,999.0,game developers warn geforce rtx 4000 and 3000 owners to roll back nvidia drivers  the latest drivers are causing issues in previousgen cards,NEGATIVE,0.5660725235939026,hardware,0.4411832392215729,0
Wed Apr  2 16:45:48 2025,Oracle attempt to hide serious cybersecurity incident from customers in Oracle SaaS service,999.0,oracle attempt to hide serious cybersecurity incident from customers in oracle saas service,NEGATIVE,0.5424061417579651,security,0.9628196358680724,0
Wed Apr  2 16:45:53 2025,Taiwan's 5-ton unmanned attack vessel with warheads to counter China,999.0,taiwans 5ton unmanned attack vessel with warheads to counter china,NEUTRAL,0.8750392198562622,hardware,0.7548137307167053,1
Wed Apr  2 16:45:58 2025,"Open Source Genetic Database Shuts Down to Protect Users From 'Authoritarian Governments' | ""The risk/benefit calculus of providing free & open access to individual genetic data in 2025 is very different compared to 14 years ago.""",999.0,open source genetic database shuts down to protect users from authoritarian governments  the riskbenefit calculus of providing free  open access to individual genetic data in 2025 is very different compared to 14 years ago.,NEUTRAL,0.6057690382003784,security,0.9462436437606812,0
Wed Apr  2 16:46:03 2025,Google to pay $100 million to settle 14-year-old advertising lawsuit,999.0,google to pay $100 million to settle 14yearold advertising lawsuit,NEUTRAL,0.7338972687721252,gadgets,0.262480765581131,0
Wed Apr  2 16:46:08 2025,Reporter drove 300 miles in rural Virginia then asked police to send FlockLPR surveillance footage of his car. Here's what he learned.,999.0,reporter drove 300 miles in rural virginia then asked police to send flocklpr surveillance footage of his car. heres what he learned.,NEUTRAL,0.6314725875854492,security,0.5922855138778687,0
Wed Apr  2 16:46:13 2025,"France fines Apple €150M for “excessive” pop-ups that let users reject tracking | Requiring ""double consent"" for user tracking is too much, French agency says.",999.0,france fines apple 150m for excessive popups that let users reject tracking  requiring double consent for user tracking is too much french agency says.,NEGATIVE,0.7626498341560364,software,0.4122515618801117,3
Wed Apr  2 16:46:18 2025,An AI Image Generator’s Exposed Database Reveals What People Really Used It For | An unsecured database used by a generative AI app revealed prompts and tens of thousands of explicit images—some of which are likely illegal. The company deleted its websites after WIRED reached out,999.0,an ai image generators exposed database reveals what people really used it for  an unsecured database used by a generative ai app revealed prompts and tens of thousands of explicit imagessome of which are likely illegal. the company deleted its websites after wired reached out,NEGATIVE,0.7075493335723877,AI,0.5312203764915466,1
Wed Apr  2 16:46:23 2025,Databricks and Anthropic are teaming up on agentic AI development – here’s what it means for customers,999.0,databricks and anthropic are teaming up on agentic ai development  heres what it means for customers,NEUTRAL,0.5955913662910461,AI,0.7606045603752136,3
